,gdp_growth_yoy_lag_6,UNRATE_lag_3,unemployment_change,DGS10,yield_curve_slope,inflation_yoy,gdp_growth_yoy_lag_3,fed_funds_momentum,real_fed_funds,CPIAUCSL,gdp_growth_yoy,employment_growth_yoy,gdp_growth_yoy_lag_1,employment_growth_yoy_lag_3
1960-04-01,1.1378486299705504,5.2,0.0,4.09,0.1699999999999999,1.9323671497584405,3.354830353843763,-0.0700000000000002,1.9876328502415597,29.54,2.360953461975024,2.798147071510293,2.6575860764282977,3.422386523876675
1960-05-01,0.6791941093338805,4.8,0.0,4.09,0.2399999999999997,1.8250688705234277,2.6575860764282977,-0.1200000000000001,2.0249311294765726,29.57,-0.2889534283734507,1.7273576097105448,2.360953461975024,3.463786820528392
1960-06-01,0.6791941093338805,5.4,0.4000000000000003,4.09,0.77,1.7176228100309163,2.6575860764282977,-0.52,1.6023771899690833,29.61,-0.2889534283734507,1.242525288277041,-0.2889534283734507,2.716263628475501
1960-07-01,3.354830353843763,5.2,0.4000000000000003,4.09,0.8599999999999999,1.3722126929674117,2.360953461975024,-0.69,1.8577873070325883,29.55,0.5447361825714037,0.9330161326295494,-0.2889534283734507,2.798147071510293
1960-08-01,2.6575860764282977,5.1,0.3999999999999994,4.09,1.11,1.473612063056895,-0.2889534283734507,-0.8700000000000001,1.506387936943105,29.61,0.836105566644485,1.7549122543872864,0.5447361825714037,1.7273576097105448
1960-09-01,2.6575860764282977,5.4,0.0,4.09,1.4899999999999998,1.2307692307692353,-0.2889534283734507,-0.7199999999999998,1.3692307692307648,29.61,0.836105566644485,1.4954705397918655,0.836105566644485,1.242525288277041
1960-10-01,2.360953461975024,5.5,0.3999999999999994,4.09,1.6199999999999997,1.362862010221466,0.5447361825714037,-0.7599999999999998,1.107137989778534,29.75,-0.1631921342500231,1.469320439296817,0.836105566644485,0.9330161326295494
1960-11-01,-0.2889534283734507,5.6,0.2999999999999998,4.09,1.65,1.465076660988074,0.836105566644485,-0.54,0.974923339011926,29.78,-0.9910117961012044,0.6096878845508469,-0.1631921342500231,1.7549122543872864
1960-12-01,-0.2889534283734507,5.5,1.2999999999999998,4.09,2.11,1.3600816048962905,0.836105566644485,-0.6200000000000001,0.6199183951037095,29.81,-0.9910117961012044,-0.7974305017166894,-0.9910117961012044,1.4954705397918655
1961-01-01,0.5447361825714037,6.1,1.3999999999999997,4.09,2.64,1.6002723867892366,-0.1631921342500231,-1.0200000000000002,-0.1502723867892366,29.84,-0.1074039046634611,-1.088919187824744,-0.9910117961012044,1.469320439296817
1961-02-01,0.836105566644485,6.1,2.1000000000000005,4.09,1.5499999999999998,1.4620877252635056,-0.9910117961012044,0.1,1.0779122747364944,29.84,0.8924521979944311,-1.753710124190555,-0.1074039046634611,0.6096878845508469
1961-03-01,0.836105566644485,6.6,1.5,4.09,2.07,1.4620877252635056,-0.9910117961012044,0.04,0.5579122747364944,29.84,0.8924521979944311,-1.4599478458882764,0.8924521979944311,-0.7974305017166894
1961-04-01,-0.1631921342500231,6.6,1.7999999999999998,4.09,2.6,0.9140148950575576,-0.1074039046634611,0.04,0.5759851049424423,29.81,2.84118571558154,-2.16372028533377,0.8924521979944311,-1.088919187824744
1961-05-01,-0.9910117961012044,6.9,2.0,4.09,2.11,0.9130875887723988,0.8924521979944311,-0.56,1.0669124112276012,29.84,1.931495840504338,-1.2648003671408947,2.84118571558154,-1.753710124190555
1961-06-01,-0.9910117961012044,6.9,1.5,4.09,2.36,0.7767646065518496,0.8924521979944311,-0.29,0.9532353934481504,29.84,1.931495840504338,-0.6826378155589952,1.931495840504338,-1.4599478458882764
1961-07-01,-0.1074039046634611,7.0,1.5,4.09,2.92,1.25211505922167,2.84118571558154,-0.32,-0.0821150592216701,29.92,4.155092125397686,-0.3369793392995257,1.931495840504338,-2.16372028533377
1961-08-01,0.8924521979944311,7.1,1.0,4.09,2.09,1.1144883485309176,1.931495840504338,0.02,0.8855116514690824,29.94,2.1814614477675187,0.0479068396226356,4.155092125397686,-1.2648003671408947
1961-09-01,0.8924521979944311,6.9,1.2000000000000002,4.09,2.21,1.249577845322536,1.931495840504338,0.1499999999999999,0.630422154677464,29.98,2.1814614477675187,0.2969000682316869,2.1814614477675187,-0.6826378155589952
1961-10-01,2.84118571558154,7.0,0.4000000000000003,4.09,1.83,0.7731092436974896,4.155092125397686,1.09,1.4868907563025102,29.98,4.51214573076888,0.7018580769088789,2.1814614477675187,-0.3369793392995257
1961-11-01,1.931495840504338,6.6,0.0,4.09,1.48,0.671591672263272,2.1814614477675187,0.6099999999999999,1.938408327736728,29.98,2.280926745398681,1.4473415985619242,4.51214573076888,0.0479068396226356
1961-12-01,1.931495840504338,6.7,-0.5999999999999996,4.09,1.7599999999999998,0.6709158000671067,2.1814614477675187,0.4500000000000002,1.6590841999328934,30.01,2.280926745398681,2.102638532246659,2.280926745398681,0.2969000682316869
1962-01-01,4.155092125397686,6.5,-0.7999999999999998,4.09,1.94,0.6702412868632601,4.51214573076888,-0.1099999999999998,1.4797587131367398,30.04,4.641654217988123,2.250246819291024,2.280926745398681,0.7018580769088789
1962-02-01,2.1814614477675187,6.1,-1.4000000000000004,4.09,1.7199999999999998,0.9048257372654244,2.280926745398681,-0.2399999999999997,1.4651742627345756,30.11,2.3080818171171247,3.0453535485557515,4.641654217988123,1.4473415985619242
